id,essay_id,of1,of2,of3,of4,of5,of6,cf1,cf2,cf3,cf4,cf5,cf6,ef1,ef2,ef3,ef4,ef5,ef6,af1,af2,af3,af4,af5,af6,nf1,nf2,nf3,nf4,nf5,nf6,model,temperature,input_tokens,output_tokens
1,1,4,3,6,5,6,6,5,3,4,7,2,5,5,7,4,5,7,6,4,7,3,4,4,3,5,4,3,5,6,5,gpt-5-mini-2025-08-07,0,1411,1043
2,1,3,3,6,6,4,6,4,2,3,5,2,4,5,7,4,6,7,6,4,6,3,3,5,4,5,4,3,5,6,5,gpt-5-mini-2025-08-07,0,1411,1043
3,1,4,4,6,5,5,6,5,2,4,5,2,4,4,7,6,6,7,6,4,6,3,2,6,3,5,4,3,5,6,5,gpt-5-mini-2025-08-07,0,1539,1043
4,1,4,3,6,5,6,7,5,3,5,7,2,4,5,7,4,5,7,6,3,6,3,4,5,5,6,5,4,6,6,6,gpt-5-mini-2025-08-07,0,1256,1043
5,1,3,3,6,5,5,7,5,3,4,6,3,5,5,7,5,6,7,6,4,7,3,3,6,5,6,4,3,5,6,6,gpt-5-mini-2025-08-07,0,1128,1043
6,1,2,3,7,5,6,7,5,5,6,7,3,5,5,6,5,6,7,6,3,7,3,3,5,5,5,4,2,5,6,6,gpt-5-mini-2025-08-07,0,963,1043
7,1,4,2,6,5,4,7,5,2,5,6,2,5,4,7,5,6,7,6,4,6,2,4,4,3,5,5,3,5,6,5,gpt-5-mini-2025-08-07,0,1411,1043
8,1,4,2,7,6,5,7,5,3,6,7,3,5,4,7,5,6,7,6,3,6,3,5,6,3,5,5,3,5,6,5,gpt-5-mini-2025-08-07,0,1027,1043
9,1,3,3,6,5,4,6,5,2,4,6,2,5,6,7,5,5,7,6,3,6,4,3,5,5,6,5,4,6,6,6,gpt-5-mini-2025-08-07,0,1667,1043
10,1,3,2,6,6,4,5,5,3,4,6,3,5,5,7,5,6,7,6,4,6,3,3,5,5,5,5,3,5,6,5,gpt-5-mini-2025-08-07,0,1347,1043
11,2,4,3,5,5,5,3,4,2,4,4,3,2,5,5,3,6,4,4,5,6,3,6,6,5,6,2,4,5,6,5,gpt-5-mini-2025-08-07,0,1256,1054
12,2,5,4,6,6,4,3,3,2,4,3,3,2,5,5,2,6,5,3,4,6,4,5,7,4,6,1,3,6,5,6,gpt-5-mini-2025-08-07,0,1475,1054
13,2,3,3,5,5,4,3,3,2,4,3,3,4,5,5,3,6,4,4,5,5,4,5,6,5,5,2,4,6,4,6,gpt-5-mini-2025-08-07,0,1448,1054
14,2,3,3,5,5,3,2,3,2,4,4,3,3,5,5,2,6,4,4,5,6,4,6,6,5,5,2,3,6,4,5,gpt-5-mini-2025-08-07,0,1640,1054
15,2,5,3,6,5,4,5,3,2,5,4,4,2,5,5,2,6,5,4,5,5,2,3,7,5,6,1,3,7,6,6,gpt-5-mini-2025-08-07,0,1411,1054
16,2,3,4,6,6,3,5,4,2,4,3,3,2,5,5,3,6,5,4,5,5,4,4,7,5,6,1,4,6,5,6,gpt-5-mini-2025-08-07,0,1539,1054
17,3,6,5,5,3,6,5,3,2,2,3,2,2,4,3,2,3,5,4,3,5,2,2,6,4,6,1,4,6,6,6,gpt-5-mini-2025-08-07,0,1076,1619
18,3,5,5,6,3,7,4,3,4,3,4,2,2,5,4,3,3,4,5,3,6,2,4,6,3,6,4,5,6,5,6,gpt-5-mini-2025-08-07,0,1012,1619
19,3,6,6,6,3,6,4,3,2,4,3,2,3,5,4,3,3,5,5,4,6,2,4,6,5,7,5,5,6,6,6,gpt-5-mini-2025-08-07,0,1396,1619
20,3,6,5,6,5,7,3,3,2,2,3,2,2,4,3,3,4,3,4,3,6,2,3,6,5,7,2,4,7,7,7,gpt-5-mini-2025-08-07,0,1204,1619
21,3,6,5,7,5,7,3,3,2,2,3,2,2,4,3,3,5,4,5,3,6,2,2,5,4,7,2,4,6,6,6,gpt-5-mini-2025-08-07,0,884,1619
22,3,6,5,6,4,6,4,3,2,3,3,2,2,4,3,3,4,4,5,4,4,3,3,5,4,6,2,5,6,5,5,gpt-5-mini-2025-08-07,0,1076,1619
23,3,6,5,6,5,6,4,3,2,2,4,2,2,5,3,3,5,5,5,3,6,2,3,6,4,6,3,4,5,6,5,gpt-5-mini-2025-08-07,0,948,1619
24,3,6,5,6,5,6,4,3,2,2,4,2,2,4,3,3,4,4,5,3,6,2,3,5,3,5,3,4,5,5,5,gpt-5-mini-2025-08-07,0,1204,1619
25,3,6,5,5,4,6,3,3,2,2,4,2,2,5,3,3,5,5,5,4,3,2,3,5,4,6,2,4,6,6,5,gpt-5-mini-2025-08-07,0,1140,1619
26,3,6,5,6,5,6,4,3,2,2,3,2,2,4,3,3,4,4,5,3,6,2,2,6,4,6,3,4,5,6,6,gpt-5-mini-2025-08-07,0,1204,1619
27,4,6,4,8,5,5,4,5,4,4,5,3,4,7,5,4,5,7,8,6,5,5,4,3,7,7,1,2,6,6,6,gpt-5-mini-2025-08-07,0,174,1151
28,4,5,3,7,5,4,3,5,5,5,6,5,3,7,5,4,6,7,8,6,5,5,5,2,7,7,1,1,6,6,7,gpt-5-mini-2025-08-07,0,756,1151
29,4,5,3,8,5,4,4,4,4,5,5,4,3,7,6,5,7,7,8,5,5,5,5,4,7,7,1,1,6,7,6,gpt-5-mini-2025-08-07,0,884,1151
30,4,4,2,8,5,4,2,5,6,6,6,5,6,7,6,3,7,7,8,6,4,3,5,5,6,8,1,1,7,4,7,gpt-5-mini-2025-08-07,0,1076,1151
31,4,4,3,7,6,4,5,6,5,6,5,5,4,6,5,3,7,8,8,7,5,6,5,4,7,7,1,1,7,6,6,gpt-5-mini-2025-08-07,0,1204,1151
32,5,3,2,6,4,5,3,4,2,3,6,2,3,6,6,5,5,5,6,5,7,3,3,5,3,6,3,2,6,6,5,gpt-5-mini-2025-08-07,0,1268,1821
33,5,2,2,6,5,4,2,4,2,3,5,2,2,6,6,5,5,4,6,4,6,2,3,5,5,6,3,2,6,6,6,gpt-5-mini-2025-08-07,0,1012,1821
34,5,2,3,6,5,4,3,4,2,3,6,4,4,6,5,5,5,4,5,4,6,4,4,5,3,6,3,4,6,6,6,gpt-5-mini-2025-08-07,0,1204,1821
35,5,4,2,6,5,5,4,5,2,3,6,3,2,6,6,5,6,5,6,4,7,3,4,7,4,5,3,2,5,6,5,gpt-5-mini-2025-08-07,0,1012,1821
