essay_id,o_v50,c_v50,e_v50,a_v50,n_v50
1,3.8125,4,6.4375,5,6.08333333333333
2,4.3125,4.125,5.25,5.0625,6.83333333333333
3,6.9375,3.5,4.8125,3.5,6.83333333333333
4,5.6875,6.3125,7.375,5.75,8
5,4.3125,4.5625,6,4.125,6.33333333333333
6,7.625,3.8125,4.875,5.875,6
7,5.4375,3.1875,5.5,4.375,5.58333333333333
8,5.3125,3.125,5.5,3.5625,4.41666666666667
9,4.875,3.6875,6.375,5.25,8
10,4.75,3.625,6.125,6.0625,7.75
11,3.625,5.125,2.375,3.1875,5.33333333333333
12,5.9375,6.125,5.125,3.3125,7.91666666666667
13,5.3125,3.375,5,5.375,6.41666666666667
14,6.125,2.8125,7.5625,4.75,6.5
15,3,3.25,5.0625,3.3125,4.5
16,3.625,3.5625,4.4375,2.375,5.5
17,6.6875,4.9375,3.875,4.0625,5.91666666666667
18,6.5,3.25,4.5625,4.6875,5.83333333333333
19,3.1875,6.875,4.5,3.375,4.33333333333333
20,6.375,3.3125,3.125,4.75,7.66666666666667
21,3.75,5.125,4.5,5.3125,7.5
22,5.3125,6.0625,5.8125,6.6875,8.41666666666667
23,4,5.5,6.5625,7.3125,5.83333333333333
24,5.1875,4,6.25,4.1875,6.66666666666667
25,3.3125,6.5,5.875,5.9375,7.08333333333333
26,4.9375,5.875,5.4375,5.9375,7.25
27,3.1875,5.125,7.125,3.25,4
28,6.6875,3.625,4.9375,4.625,6.25
29,5.75,3.6875,3.0625,5.75,8.08333333333333
30,5.0625,3.625,6.0625,6.3125,8.08333333333333
31,4,4.0625,5.375,5.625,4.58333333333333
32,3.4375,3.0625,5.6875,4,6.5
33,5.8125,4.3125,4.1875,4.5625,8.41666666666667
34,4.875,4.3125,3.8125,4.1875,7.91666666666667
35,6.5625,5.4375,6.75,4.5,6.83333333333333
36,6.125,5.3125,4.6875,6.1875,7.08333333333333
37,7.41666666666667,4,5.83333333333333,5.5,6
38,5.3125,3.3125,6.125,4.0625,6.33333333333333
39,4.91666666666667,5.58333333333333,6.83333333333333,5.75,7
40,4.91666666666667,4.75,5.83333333333333,6,6.55555555555556
41,2.75,4.25,3.91666666666667,3.66666666666667,7.77777777777778
42,7.33333333333333,3.08333333333333,5.91666666666667,5.66666666666667,7.66666666666667
43,5,4.58333333333333,6.08333333333333,2.83333333333333,6.33333333333333
44,4.5,4.66666666666667,4.41666666666667,4.33333333333333,5.88888888888889
45,5.5,2.5,6.5,3.5,6.11111111111111
46,5.5,6.08333333333333,6.25,6.33333333333333,7.22222222222222
47,3,2.83333333333333,4.16666666666667,2.08333333333333,4.22222222222222
48,3.91666666666667,4,5.08333333333333,5.75,6.77777777777778
49,6.08333333333333,3.33333333333333,7.66666666666667,5.08333333333333,5.44444444444444
50,5.33333333333333,3.83333333333333,6.33333333333333,5.41666666666667,6.44444444444444
51,6.08333333333333,5.5,6.25,4.83333333333333,7.55555555555556
52,4.16666666666667,7,3.5,7.75,6.88888888888889
53,5.41666666666667,5.75,2.83333333333333,5.66666666666667,7.22222222222222
54,3.91666666666667,5.83333333333333,4.83333333333333,4.58333333333333,7.33333333333333
55,4.83333333333333,3.16666666666667,6.66666666666667,4,7.22222222222222
56,3.91666666666667,4.5,5.08333333333333,5.66666666666667,5.11111111111111
57,4,6.08333333333333,3.66666666666667,4.08333333333333,5.22222222222222
58,5.58333333333333,4.66666666666667,7.33333333333333,6.33333333333333,5.33333333333333
59,5.08333333333333,5.58333333333333,5.83333333333333,6.83333333333333,6.55555555555556
60,5.5,3.75,6,4.16666666666667,6.11111111111111
61,4.66666666666667,6.66666666666667,4.91666666666667,4.16666666666667,5.66666666666667
62,5.41666666666667,5.33333333333333,7.41666666666667,5.5,6.77777777777778
63,4.5,3.91666666666667,4.5,4.41666666666667,8.11111111111111
64,6.5,5.83333333333333,3.58333333333333,4.33333333333333,6.77777777777778
65,3.91666666666667,5.16666666666667,5.33333333333333,5.33333333333333,8.33333333333333
66,3.16666666666667,4,6.16666666666667,4,6
67,4.83333333333333,3.75,4,6.33333333333333,8.22222222222222
68,4.16666666666667,4.33333333333333,3.58333333333333,4,6
69,3.33333333333333,3.41666666666667,3,2.58333333333333,4.33333333333333
70,5.25,3.08333333333333,6,3.75,5.55555555555556
71,5.58333333333333,4.16666666666667,4.25,5.58333333333333,6.55555555555556
72,4.58333333333333,5.75,6.25,5.5,5.88888888888889
73,2.8125,5.5625,4.75,2.3125,6.66666666666667
74,5.3125,2.375,6.125,3.1875,4.91666666666667
75,4,5.25,6.0625,5.3125,4.91666666666667
76,3.83333333333333,2.75,4.91666666666667,4.5,8
77,4.41666666666667,5.33333333333333,3.75,5.16666666666667,7.55555555555556
78,6.08333333333333,4.75,6.83333333333333,3.58333333333333,6.33333333333333
79,3.41666666666667,2.16666666666667,3.41666666666667,2.5,5.11111111111111
80,7,5.16666666666667,3.91666666666667,4.58333333333333,5.55555555555556
81,2.66666666666667,5.41666666666667,3,3.66666666666667,4.44444444444444
82,4.83333333333333,7,5.25,7.58333333333333,5.22222222222222
83,6.16666666666667,5.91666666666667,6.41666666666667,6,7.11111111111111
84,7,3.25,4.75,4.5,7.44444444444444
85,4.08333333333333,7.16666666666667,3.08333333333333,5.33333333333333,8
86,3.16666666666667,4.5,7.16666666666667,6.58333333333333,4.33333333333333
87,3.66666666666667,4.16666666666667,3.83333333333333,5.91666666666667,6.77777777777778
88,3.41666666666667,3.08333333333333,3.41666666666667,4.58333333333333,5.22222222222222
89,6.91666666666667,3.41666666666667,5,3.5,7.11111111111111
90,4.25,5.66666666666667,4,4.58333333333333,5
91,4.5,2.58333333333333,7.41666666666667,2.75,4
92,5.58333333333333,4,5,5.33333333333333,7
93,7,4.33333333333333,6.66666666666667,5.33333333333333,6.55555555555556
94,5.75,5.08333333333333,6.25,5.33333333333333,6.55555555555556
95,3.16666666666667,4.83333333333333,3.16666666666667,4,6.77777777777778
96,5.08333333333333,2.83333333333333,5.16666666666667,3.66666666666667,6.55555555555556
97,4.16666666666667,6.08333333333333,5,5.41666666666667,6.66666666666667
98,5.08333333333333,2.75,5.25,4.16666666666667,6.77777777777778
99,3.33333333333333,4.91666666666667,2.58333333333333,4.75,8.22222222222222
100,5.5,3.33333333333333,5.5,5.16666666666667,7.55555555555556
101,6.58333333333333,4.91666666666667,4.08333333333333,6.41666666666667,6.44444444444444
102,3.33333333333333,5.66666666666667,4.16666666666667,4.66666666666667,5.88888888888889
103,3.66666666666667,2.66666666666667,3.75,3.91666666666667,6
104,4.75,3.5,3.83333333333333,4.75,6.88888888888889
105,4.16666666666667,5.75,3.58333333333333,5.5,6.55555555555556
106,2.75,2.66666666666667,3.33333333333333,5.91666666666667,5.77777777777778
107,4.83333333333333,4.16666666666667,5.16666666666667,5.58333333333333,5.77777777777778
108,3.08333333333333,2.75,7,2.91666666666667,6.22222222222222
109,3.08333333333333,3.08333333333333,5.75,5.41666666666667,6.88888888888889
110,5.25,3.75,4.41666666666667,4.75,6.66666666666667
111,3.41666666666667,2.66666666666667,6.5,2.58333333333333,4.33333333333333
112,5.16666666666667,3.16666666666667,4.75,5.41666666666667,5.22222222222222
113,6.5,4.5,3.66666666666667,5.66666666666667,5.66666666666667
114,6.16666666666667,3.75,5.41666666666667,5.58333333333333,5.66666666666667
115,6.91666666666667,3,5.16666666666667,3.25,4.11111111111111
116,3.41666666666667,5.83333333333333,4.83333333333333,5,5.77777777777778
117,5.16666666666667,7.41666666666667,5.16666666666667,7.58333333333333,4.77777777777778
118,7.41666666666667,4.75,6.58333333333333,5.5,7
119,3.16666666666667,6,5.75,4.75,6.77777777777778
120,3.75,4.08333333333333,3.5,5.08333333333333,7.88888888888889
121,6.75,3.16666666666667,4,4.66666666666667,8.11111111111111
122,3.58333333333333,6.25,6.08333333333333,4.5,6.77777777777778
123,3.5,5.66666666666667,5.58333333333333,7.08333333333333,6.33333333333333
124,6,5.16666666666667,5.66666666666667,3.41666666666667,5.55555555555556
125,5,4.66666666666667,5.16666666666667,6.25,7.33333333333333
126,4,3.75,2.91666666666667,4,7.11111111111111
127,3.75,4.08333333333333,5,6.41666666666667,6.11111111111111
128,5.25,3.16666666666667,2.83333333333333,4,8.22222222222222
129,4.58333333333333,3.41666666666667,4.75,4.75,7.88888888888889
130,4.58333333333333,3.5,5.16666666666667,3.5,3.33333333333333
131,6.16666666666667,3.83333333333333,2.91666666666667,4.58333333333333,7.77777777777778
132,4.66666666666667,2.16666666666667,4.83333333333333,2.83333333333333,6
133,3.58333333333333,5.33333333333333,2.75,3.83333333333333,7.77777777777778
134,4.41666666666667,2,5.33333333333333,2.5,6.55555555555556
135,4.41666666666667,3.75,7.16666666666667,5.33333333333333,4.55555555555556
