essay_id,o_v20,c_v20,e_v20,a_v20,n_v20
1,4.78333333333333,4.15,6.31666666666667,5.06666666666667,5.46666666666667
2,4.5,3.51666666666667,4.33333333333333,5.55,4.98333333333333
3,6.08333333333333,2.86666666666667,4.28333333333333,4.33333333333333,5.86666666666667
4,5.5,5.9,6.85,5.98333333333333,5.33333333333333
5,4.38333333333333,4.1,5.88333333333333,5.06666666666667,5.05
6,7,2.9,4.85,5.71666666666667,5.5
7,4.71666666666667,3.18333333333333,5.2,4.93333333333333,4.36666666666667
8,5.08333333333333,4.35,5.01666666666667,3.86666666666667,5.21666666666667
9,4.81666666666667,3.5,4.91666666666667,4.98333333333333,7.08333333333333
10,5.1,4.78333333333333,6,5.25,6.26666666666667
11,3.56666666666667,3.68333333333333,2.88333333333333,4.31666666666667,4.91666666666667
12,5.85,6.45,4.11666666666667,4.71666666666667,5.86666666666667
13,5.23333333333333,3.38333333333333,5.38333333333333,5.75,4.85
14,5.93333333333333,2.71666666666667,7.23333333333333,4.7,5.71666666666667
15,3.55,2.91666666666667,5.13333333333333,4.38333333333333,4.23333333333333
16,3.56666666666667,3.63333333333333,4.31666666666667,3.41666666666667,5.28333333333333
17,6.51666666666667,4.98333333333333,3.96666666666667,3.55,4.51666666666667
18,5.91666666666667,2.86666666666667,5.26666666666667,5.2,4.2
19,4.28333333333333,6.15,4.78333333333333,4.91666666666667,3.03333333333333
20,5.75,3,3.48333333333333,5.15,6.31666666666667
21,4.68333333333333,4.93333333333333,4.71666666666667,5.66666666666667,6.11666666666667
22,5.63333333333333,5.11666666666667,5.78333333333333,5.66666666666667,7.46666666666667
23,4.93333333333333,4.3,6.48333333333333,6.83333333333333,4.48333333333333
24,5.83333333333333,5.3,5.9,5.15,6.18333333333333
25,4.78333333333333,6.28333333333333,6.16666666666667,6.28333333333333,5.03333333333333
26,5.26666666666667,5.25,5.53333333333333,6.2,5.38333333333333
27,3.95,4.1,6.41666666666667,4.06666666666667,3.75
28,6,3.03333333333333,4.83333333333333,5.18333333333333,5.3
29,5.43333333333333,3.6,3.28333333333333,5.53333333333333,6.71666666666667
30,5.1,3.53333333333333,5.63333333333333,6.08333333333333,6.6
31,4.43333333333333,3.71666666666667,5.26666666666667,5.48333333333333,4.76666666666667
32,4.01666666666667,2.9,5.06666666666667,4.01666666666667,5.4
33,5,3.55,3.95,4.98333333333333,6.76666666666667
34,4.83333333333333,3.6,3.16666666666667,5.1,6.61666666666667
